PO#,Date,Vendor,Description,Job,Due,Received,B/O,Ship to,Comments
21273,2/14/2025,4,3 boxes VPS 30,35,"Wednesday, February 19, 2025",,,Shop Delivery,Dan/Shop PO's
21274,2/14/2025,79,qty2000 #10 flathead,63,"Monday, February 17, 2025",,,Shop Delivery,Dan/Shop PO's
21275,2/14/2025,191,"QTTY 700 3/8 X 2 1/8"" HUS EZ bolts",60,"Monday, February 24, 2025",,,Shop Delivery,Dan/Shop PO's
21276,2/18/2025,130,10 boxs of 795 Bronze,2,"Friday, February 21, 2025",,,Shop Delivery,Dan/Shop PO's
21277,2/18/2025,79,2 boxes drill flex 12-14x1.5,2,"Thursday, February 20, 2025",,,Shop Delivery,Dan/Shop PO's
21278,1/19/2025,130,1 pallet 795 black,3,"Thursday, February 20, 2025",,,Shop Delivery,Dan/Shop PO's
21279,2/21/2025,96,6 boxes red tape,63,"Tuesday, February 25, 2025",,,Will Call,Dan/Shop PO's
21280,2/21/2025,130,6 boxes 758,3,"Tuesday, February 25, 2025",,,Shop Delivery,Dan/Shop PO's
21281,2/25/2025,79,Qty 60 hitch pins,63,"Thursday, February 27, 2025",,,Shop Delivery,Dan/Shop PO's
21282,2/25/2025,79,"QTY 10,000 1/4-20 SS nuts",63,"Thursday, February 27, 2025",,,Shop Delivery,Dan/Shop PO's
21283,2/26/2025,130,QTY 3 black 983 set ups,63,"Friday, February 28, 2025",,,Shop Delivery,Dan/Shop PO's
21284,2/26/2025,130,3 boxes 795 Lome stone,27,"Thursday, February 27, 2025",,,Shop Delivery,Dan/Shop PO's
21285,2/26/2025,4,4 pails pour rock / 3 boxes 795 limestone,27,"Friday, February 28, 2025",,,Shop Delivery,Dan/Shop PO's
21286,2/26/2025,4,2 pallets of water,63,"Thursday, February 27, 2025",,,Shop Delivery,Dan/Shop PO's
21287,2/28/2025,388,vacum pump repair parts,26,"Monday, March 03, 2025",,,Shop Delivery,Dan/Shop PO's
21288,3/2/2025,79,"QTY 2000 5/16-18 X 3'4"" BOLTS",63,"Tuesday, March 04, 2025",,,Shop Delivery,Dan/Shop PO's
21289,3/3/2025,434,custom counter bore drill bit,60,"Tuesday, March 11, 2025",,,Will Call,Dan/Shop PO's
21290,3/4/2025,130,1 pallet 795 black,3,"Wednesday, March 05, 2025",,,Shop Delivery,Dan/Shop PO's
21291,3/6/2025,100,Panel shim stock order 10 rolls glazing tape,63,"Monday, March 10, 2025",,,Shop Delivery,Dan/Shop PO's
21292,3/7/2025,130,primmer C & 1200 & soft rod,63,"Monday, March 10, 2025",,,Shop Delivery,Dan/Shop PO's
21293,3/10/2025,79,5000 bypass clips,63,"Friday, March 28, 2025",,,Shop Delivery,Dan/Shop PO's
21294,3/10/2025,79,"2 boxes drill flex 1/4-14/2""",63,"Tuesday, March 11, 2025",,,Shop Delivery,Dan/Shop PO's
21295,3/10/2025,130,1 pallet 795 black,3,"Tuesday, March 11, 2025",,,Shop Delivery,Dan/Shop PO's
21296,3/11/2025,79,"#8 Pan head 3/4"" long #12 flathead 3"" long",35,"Thursday, March 13, 2025",,,Shop Delivery,Dan/Shop PO's
21297,3/13/2025,79,4 boxes of flathead tapcond,35,"Thursday, March 13, 2025",,,Shop Delivery,Dan/Shop PO's
21298,3/13/2025,235,2 replacment ground clamps for insulation welder,63,"Monday, March 17, 2025",,,Shop Delivery,Dan/Shop PO's
21299,3/15/2025,79,8 boxes drill flex to replace what was sent out to site,3,"Tuesday, March 18, 2025",,,Shop Delivery,Dan/Shop PO's
21300,3/17/2025,79,QTTY 40 hitch pins,63,"Tuesday, March 18, 2025",,,Shop Delivery,Dan/Shop PO's
21301,3/20/2025,114,"2 50X120"" 1/8"" almn. sheets",3,"Thursday, March 20, 2025",,,Will Call,Dan/Shop PO's
21302,3/20/2025,250,"1/4-20 studs 3/4"" long",27,"Monday, March 31, 2025",,,Shop Delivery,Dan/Shop PO's
21303,3/20/2025,304,,63,"Thursday, March 21, 2024",,,Shop Delivery,Dan/Shop PO's
21304,3/20/2025,79,2 boxes drill flex & nut setters,63,"Monday, March 24, 2025",,,Shop Delivery,Dan/Shop PO's
21305,3/20/2025,79,Steel Washers,63,"Friday, March 28, 2025",,,Shop Delivery,Dan/Shop PO's
21306,3/21/2025,130,1 pallet 795 Black and soft rod,63,"Monday, March 24, 2025",,,Shop Delivery,Dan/Shop PO's
21307,3/21/2025,96,"6 boxes of 2"" red tape",63,"Monday, March 24, 2025",,,Shop Delivery,Dan/Shop PO's
21308,3/25/2024,125,10 coils and 1 box of buckles,63,"Monday, March 31, 2025",,,Shop Delivery,Dan/Shop PO's
21309,3/25/2025,130,6 boxes 758,7,"Wednesday, March 26, 2025",,,Shop Delivery,Dan/Shop PO's
21310,3/25/2025,130,8 set ups 983 1 pallet 795 black,63,"Thursday, March 26, 2026",,,Shop Delivery,Dan/Shop PO's
21311,3/25/2025,198,983 pump seals,63,"Monday, March 31, 2025",,,Shop Delivery,Dan/Shop PO's
21312,3/26/2025,4,2 pallets af water,63,"Thursday, March 27, 2025",,,Shop Delivery,Dan/Shop PO's
21313,3/26/2025,4,1 unit of 2 x 4 x 10' doug fir,2,"Monday, March 31, 2025",,,Shop Delivery,Dan/Shop PO's
21314,3/27/2025,130,6 sausage guns and tips,63,"Monday, March 31, 2025",,,Shop Delivery,Dan/Shop PO's
21315,4/1/2025,130,Soft rod and tips,3,"Wednesday, April 02, 2025",,,Shop Delivery,Dan/Shop PO's
21316,4/1/2025,130,Soft rod and tips,63,"Wednesday, April 02, 2025",,,Shop Delivery,Dan/Shop PO's
21317,4/1/2025,100,standoffs,35,"Friday, April 04, 2025",,,Shop Delivery,Dan/Shop PO's
21318,4/1/2025,79,"2 boxes drill flex & 1/4"" SS lock washers",63,"Thursday, April 03, 2025",,,Shop Delivery,Dan/Shop PO's
21319,4/1/2025,79,2 boxes of drill flex,2,"Thursday, April 03, 2025",,,Shop Delivery,Dan/Shop PO's
21320,4/2/2025,79,5/16 hex bolts & 2 boxes drill flex,63,"Friday, April 04, 2025",,,Shop Delivery,Dan/Shop PO's
21321,4/2/2025,114,L-Angle,27,"Thursday, April 03, 2025",,,Shop Delivery,Dan/Shop PO's
21322,4/2/2025,100,setting blocks,63,"Friday, April 04, 2025",,,Shop Delivery,Dan/Shop PO's
21323,4/14/2025,96,"5 boxes 2"" red tape",63,"Wensday April 16,2025",,,Shop Delivery,Dan/Shop PO's
21324,4/14/2025,32,welding gloves / welding tips / welding lenses,35,"Tuesday, April 15, 2025",,,Will Call,Dan/Shop PO's
21325,4/14/2025,79,6 boxes drill flex,63,"Wensday April 15,2025",,,Shop Delivery,Dan/Shop PO's
21326,4/16/2025,130,2 / 55-gallon druns of 99% Isopropanal,63,"Thursday, April 17, 2025",,,Shop Delivery,Dan/Shop PO's
21327,4/18/2025,130,2 pallets of 795 Black,63,"Friday, April 18, 2025",,,Shop Delivery,Dan/Shop PO's
21328,4/21/2025,100,Shim stock order,63,4/24/2025,,,Shop Delivery,Dan/Shop PO's
21329,4/21/2025,79,Screws and tips,63,"Tuesday, April 22, 2025",,,Shop Delivery,Dan/Shop PO's
21330,4/23/2025,235,"1 box 7 5/8"" weld on cup pins",63,"Wednesday, April 30, 2025",,,Shop Delivery,Dan/Shop PO's
21331,4/23/2025,304,"2 boxes of 3"" insulation tape",63,4/29/2025,,,Shop Delivery,Dan/Shop PO's
21332,4/25/2025,130,5 boxes 758 1box 795 Champagen,35,"Monday, April 28, 2025",,,Shop Delivery,Dan/Shop PO's
21333,4/25/2025,25,3 rim latch striks,63,"Wednesday, April 30, 2025",,,Shop Delivery,Dan/Shop PO's
21334,4/28/2025,4,1 pallet of water,63,"Tuesday, April 29, 2025",,,Shop Delivery,Dan/Shop PO's
21335,4/28/2025,130,soft rod and primmer C,27,"Wednesday, April 30, 2025",,,Shop Delivery,Dan/Shop PO's
21336,4/28/2025,125,Strap & buckles,63,"Monday, May 05, 2025",,,Shop Delivery,Dan/Shop PO's
21337,4/30/2025,4,2 - 5 gallon pails WB primmer,63,"Thursday, May 01, 2025",,,Shop Delivery,Dan/Shop PO's
21338,4/30/2025,191,"3 boxes 1/4 X 3 1/2"" KH-EZ screws",63,"Thursday, May 01, 2025",,,Shop Delivery,Dan/Shop PO's
21339,4/30/2025,79,"QTY 10,000 #10 X 1 SMS SS",63,"Thursday, May 01, 2025",,,Shop Delivery,Dan/Shop PO's
21340,4/30/2025,79,"QTY 2000 5/16-18 X 3'4"" BOLTS",63,"Friday, May 01, 2026",,,Shop Delivery,Dan/Shop PO's
21341,5/1/2025,79,1 box of #8 Pan head SMS,35,"Monday, May 05, 2025",,,Shop Delivery,Dan/Shop PO's
21342,5/5/2025,130,1 box 795 Gray Sausages,60,"Tuesday, May 06, 2025",,,Shop Delivery,Dan/Shop PO's
21343,5/6/2025,79,QTy 2 SS Couners,26,"Tuesday, May 06, 2025",,,Shop Delivery,Dan/Shop PO's
21344,5/6/2025,235,"QTy 1000 weld on pins 7 5/8""",63,"Thursday, May 15, 2025",,,Shop Delivery,Dan/Shop PO's
21345,5/6/2025,79,2 boxes drill flex,63,"Thursday, May 08, 2025",,,Shop Delivery,Dan/Shop PO's
21346,5/7/2025,96,6 boxes of red tape,63,"Monday, May 12, 2025",,,Shop Delivery,Dan/Shop PO's
21347,5/7/2025,130,1 box 795 white,26,"Monday, May 12, 2025",,,Shop Delivery,Dan/Shop PO's
21348,5/7/2025,130,3 boxes 795 Champaine,35,"Monday, May 12, 2025",,,Shop Delivery,Dan/Shop PO's
21349,5/13/2025,79,"QTY 1000 #10 flathead 2""",27,"Thursday, May 15, 2025",,,Shop Delivery,Dan/Shop PO's
21350,5/16/2025,4,2 pallets of water,63,"Saturday, May 17, 2025",,,Shop Delivery,Dan/Shop PO's
21351,5/16/2025,79,Screws and tips,63,"Monday, May 19, 2025",,,Shop Delivery,Dan/Shop PO's
21352,5/19/2025,130,1 pallet 795 blasc 2 boxes primmer C,63,"Tuesday, May 20, 2025",,,Shop Delivery,Dan/Shop PO's
21353,5/28/2025,130,1 palet 795 black,63,"Thursday, May 29, 2025",,,Shop Delivery,Dan/Shop PO's
21354,5/28/2025,79,QTY 4 PCS SS flashing,38,"Thursday, May 29, 2025",,,Shop Delivery,Dan/Shop PO's
21355,5/28/2025,130,"4 boxes 795 White 1 box 1 1/2"" backer rod",26,"Thursday, May 29, 2025",,,Shop Delivery,Dan/Shop PO's
21356,2/3/2025,176,Glass doors for main Entry at San Mateo,7,"Monday, March 17, 2025",,,Shop Delivery,SW
21357,2/3/2025,191,"KH-EZ 1/2x6""",27,"Wednesday, February 05, 2025",,,Shop Delivery,MS
21358,2/5/2025,86,Ultra foil,63,"Friday, February 07, 2025",,,Will Call,ms
21359,2/7/2025,114,Angles,27,"Wednesday, February 12, 2025",,,Shop Delivery,ms
21360,2/12/2025,215,Angles,27,"Monday, February 24, 2025",,,Will Call,MS
21361,2/12/2025,215,Panel,3,"Monday, February 24, 2025",,,Will Call,MS
21362,2/12/2025,158,Sliders,27,"Monday, June 02, 2025",,,Shop Delivery,MS
21363,2/12/2025,18,IG Closures Qty 2,27,"Thursday, May 15, 2025",,,Jobsite,MS
21364,2/12/2025,248,Steel Angles - 8x8x1/2 Qty 5,63,"Friday, February 14, 2025",,,Shop Delivery,MS
21365,2/20/2025,25,7 total sweeps,61,"Friday, February 28, 2025",,,Shop Delivery,ms
21366,2/20/2025,4,GE Optic 3101,63,"Wednesday, February 26, 2025",,,Shop Delivery,MS
21367,2/20/2025,419, ,19,,,,,
21368,2/7/2025,173,Brake shapes for main entry,7,"Wednesday, February 12, 2025",,,Shop Delivery,SW
21369,2/7/2025,100,Bullet resistant and pass-through windows,7,"Monday, April 07, 2025",,,Shop Delivery,SW
21370,2/24/2025,114,Alum Tubes,27,"Tuesday, February 25, 2025",,,Shop Delivery,MS
21371,2/24/2025,114,2x4 angles,27,"Wednesday, February 26, 2025",,,Shop Delivery,MS
21372,2/25/2025,114,Channel Qty 4,27,"Wednesday, February 26, 2025",,,Shop Delivery,MS
21373,2/26/2025,191,1 7/8 anchors,3,"Monday, March 03, 2025",,,Shop Delivery,ms
21374,2/26/2025,25,Bancroft Pulls,27,"Thursday, April 10, 2025",,,Shop Delivery,MS
21375,2/27/2025,230,Flashing,27,"Monday, March 03, 2025",,,Will Call,MS
21376,2/28/2025,248,Deck edge shims,63,"Thursday, March 06, 2025",,,Will Call,MS
21377,3/3/2025,114,Lake Street Panel materials,27,"Tuesday, March 04, 2025",,,Shop Delivery,MS
21378,3/3/2025,419, ,19,,,,,
21379,3/3/2025,79,Lake Street Anchors F type,27,"Tuesday, March 04, 2025",,,Shop Delivery,ms
21380,3/4/2025,433,Lake Street Finish for arch,27,"Tuesday, March 04, 2025",,,,MS
21381,3/5/2025,215,finish for actuator angle,61,"Friday, March 07, 2025",,,Will Call,MS
21382,3/5/2025,82,steel angles at Lake Street,27,"Wednesday, March 05, 2025",,,Will Call,MS
21383,3/5/2025,79,Washers,63,"Thursday, March 06, 2025",,,Will Call,MS
21384,3/5/2025,419, ,19,,,,,
21385,3/11/2025,86,3 rolls grace ultra flashing,63,"Wednesday, March 12, 2025",,,Shop Delivery,MS
21386,3/11/2025,114,BEC - Misc Panels #1,3,"Wednesday, March 12, 2025",,,Shop Delivery,MS
21387,3/12/2025,114,BOK Materials,27,"Thursday, March 13, 2025",,,Shop Delivery,MS
21388,3/12/2025,100,Handrail Material,7,"Monday, April 14, 2025",,,Shop Delivery,SW
21389,3/14/2025,248,Shims,63,"Tuesday, March 18, 2025",,,Shop Delivery,MS
21390,3/14/2025,4,Backer Rod,63,"Thursday, March 20, 2025",,,Shop Delivery,MS
21391,3/14/2025,432,CEE Lake Street Panels,27,"Tuesday, March 18, 2025",,,Shop Delivery,MS
21392,3/14/2025,114,3003 Sheet,3,"Tuesday, March 18, 2025",,,Shop Delivery,MS
21393,3/17/2025,114,Shop Stock 60x120,3,"Tuesday, March 18, 2025",,,Shop Delivery,MS
21394,3/17/2025,248,BOK Steel Parts,27,"Tuesday, March 18, 2025",,,Shop Delivery,MS
21395,3/17/2025,114,"100 T shapes, 4 pcs 1/2"" plate plus 4 angles",7,"Tuesday, March 18, 2025",,,Shop Delivery,SW
21396,3/18/2025,176,"19 lites 1/4"" clear tempered low-iron glass",7,"Tuesday, March 25, 2025",,,Jobsite,SW
21397,3/18/2025,427,"4 ea. 3/4"" HD Black nets",7,"Wednesday, March 26, 2025",,,Shop Delivery,SW
21398,3/19/2025,114,Alum sheets,3,"Wednesday, March 19, 2025",,,Shop Delivery,MS
21399,3/19/2025,419, ,19,,,,,
21400,3/19/2025,16,Canopy Panels,27,"Friday, April 25, 2025",,,Shop Delivery,ms
21401,3/20/2025,25,Power Supplies,3,"Friday, March 21, 2025",,,Shop Delivery,MS
21402,3/20/2025,419, ,19,,,,,
21403,3/21/2025,4,2 Rolls VPS-30,7,"Monday, March 24, 2025",,,Shop Delivery,SW
21404,3/21/2025,79,"2 boxes 1/4-14x2"" Drilflex",7,"Thursday, March 27, 2025",,,Shop Delivery,SW
21405,3/21/2025,79,Black anodized brake shapes,7,"Thursday, March 27, 2025",,,Shop Delivery,SW
21406,3/27/2025,130,Natural Stone 795,27,"Tuesday, April 01, 2025",,,Shop Delivery,MS
21407,3/31/2025,4,2 Rolls VPS-30,7,"Monday, March 31, 2025",,,Will Call,SW
21408,3/31/2025,79,Bi-flex Fasteners,7,"Monday, March 31, 2025",,,Will Call,SW
21409,4/1/2025,419, ,19,,,,,
21410,4/1/2025,100,Tension Rods,63,"Friday, April 18, 2025",,,Shop Delivery,MS
21411,4/1/2025,25,Entice Thresholds,27,"Thursday, May 01, 2025",,,Shop Delivery,ms
21412,4/1/2025,42,Fire Rated Doors,63,"Friday, June 06, 2025",,,Shop Delivery,MS
21413,4/1/2025,419, ,19,,,,,
21414,4/1/2025,419, ,19,,,,,
21415,4/2/2025,215,Lake street panels,27,"Thursday, April 03, 2025",,,Will Call,Ms
21416,4/4/2025,279,Main Entry Canopy,7,"Monday, June 02, 2025",,,Shop Delivery,SW
21417,4/4/2025,419, ,19,,,,,
21418,4/4/2025,419, ,19,,,,,
21419,4/7/2025,215,BOK Support frame,27,"Monday, April 07, 2025",,,Will Call,MS
21420,4/4/2025,264,"6"" felt for columns",7,"Monday, April 14, 2025",,,Shop Delivery,SW
21421,4/7/2025,428,Windows,27,"Monday, April 07, 2025",,,Shop Delivery,MS
21422,4/9/2025,79,Panda Anchors,27,"Thursday, April 10, 2025",,,Shop Delivery,ms
21423,4/9/2025,419, ,19,,,,,
21424,4/10/2025,317,Testing,63,,,,,
21425,4/14/2025,176,Handrail glass and conf room glass,7,"Monday, April 21, 2025",,,Jobsite,SW
21426,4/14/2025,79,Plates at door jambs,7,"Thursday, April 17, 2025",,,Shop Delivery,SW
21427,4/15/2025,191,anchors,27,"Thursday, April 17, 2025",,,Shop Delivery,MS
21428,4/15/2025,435,insulation - RainBarrier,63,"Monday, April 21, 2025",,,Shop Delivery,MS
21429,4/15/2025,79,Flashing,27,"Friday, April 18, 2025",,,Shop Delivery,MS
21430,4/24/2025,109,Painted Sheets - 3 colors,63,"Monday, May 05, 2025",,,Shop Delivery,MS
21431,4/24/2025,79,security screws,63,"Monday, May 05, 2025",,,Shop Delivery,MS
21432,4/24/2025,207,Door Trims,3,"Thursday, May 15, 2025",,,Shop Delivery,MS
21433,4/18/2025,79,Steel for 2000 Broadway,80,,,,Shop Delivery,SW
21434,4/18/2025,419, ,19,,,,,
21435,4/29/2025,432,Angles for Sash Windows,27,"Thursday, May 15, 2025",,,Shop Delivery,MS
21436,4/30/2025,79,Stool trim acnhors,63,"Thursday, May 01, 2025",,,Shop Delivery,MS
21437,5/1/2025,79,Shear Wall Flashing,27,"Monday, May 05, 2025",,,Shop Delivery,MS
21438,5/2/2025,79,Coping caps,27,"Wednesday, May 07, 2025",,,Shop Delivery,MS
21439,4/23/2025,79,Fasteners for Bird Net,7,"Monday, May 05, 2025",,,Shop Delivery,SW
21440,4/24/2025,114,Angles for main entry - shop,7,"Monday, April 28, 2025",,,Shop Delivery,SW
21441,4/24/2025,100,Trims for composite main entry - shop,7,"Monday, April 28, 2025",,,Shop Delivery,SW
21442,4/24/2025,79,"Z shapes for 1/2"" plate at main entry - shop",7,"Monday, May 05, 2025",,,Shop Delivery,SW
21443,4/28/2025,176,2 lites interior glazing,7,"Wednesday, April 30, 2025",,,Jobsite,SW
21444,4/28/2025,109,"Paint 1/2"" plate panels and sill trims",7,"Monday, May 26, 2025",,,Shop Delivery,SW
21445,4/28/2025,79,Trims for sills,7,"Friday, May 09, 2025",,,Deliver to Certified,SW
21446,4/28/2025,20,Centria Panels,63,"Wednesday, June 18, 2025",,,Shop Delivery,MS
21447,4/28/2025,419, ,19,,,,,
21448,5/2/2025,79,Shims,63,"Wednesday, May 07, 2025",,,Shop Delivery,MS
21449,5/2/2025,79,Interior metal panels parts,27,"Thursday, May 08, 2025",,,Shop Delivery,MS
21450,5/2/2025,419, ,19,,,,,
21451,5/2/2025,419, ,19,,,,,
21452,5/8/2025,109,,19,,,,,
21453,5/7/2025,130,Tremflex for the interior of the windows,7,"Wednesday, May 07, 2025",,,Will Call,SW
21454,5/7/2025,4,"6 rolls 6"" foil faced membrane",7,"Monday, May 12, 2025",,,Shop Delivery,SW
21455,5/7/2025,176,1 additional lite of low iron tempered,7,"Friday, May 09, 2025",,,Jobsite,SW
21456,5/7/2025,25,Door position Switches,7,"Friday, May 09, 2025",,,Shop Delivery,SW
21457,5/7/2025,176,Sliding Door for Gift Shop,7,"Friday, May 30, 2025",,,Shop Delivery,SW
21458,5/8/2025,114,Angles for Main Entry,7,"Friday, May 09, 2025",,,Shop Delivery,SW
21459,5/8/2025,79,Brake shapes for main entry,7,"Wednesday, May 14, 2025",,,Shop Delivery,SW
21460,5/8/2025,79,Replacement flashings,26,"Tuesday, May 20, 2025",,,Shop Delivery,JB
21461,5/9/2025,109,CEE interior panels,27,"Tuesday, May 20, 2025",,,Shop Delivery,MS
21462,5/9/2025,210,Pop up stair panel girts,63,"Monday, June 02, 2025",,,Shop Delivery,MS
21463,5/9/2025,86,Perm-a-barrier Ultra,63,"Tuesday, May 13, 2025",,,Shop Delivery,ms
21464,5/9/2025,130,1 Case of DOW 795 Clear,7,"Tuesday, May 13, 2025",,,Shop Delivery,SW
21465,5/9/2025,100,5 pcs of trim for Composite Panels,7,"Tuesday, May 13, 2025",,,Shop Delivery,SW
21466,5/9/2025,419, ,19,,,,,
21467,5/9/2025,419, ,19,,,,,
21468,5/14/2025,114,.040 Sheets,27,"Thursday, May 15, 2025",,,Shop Delivery,MS
21469,5/14/2025,419, ,19,,,,,
21470,5/16/2025,207,Storefront for building D,63,"Friday, July 25, 2025",,,Shop Delivery,MS
21471,5/16/2025,109,flashing for type B - various parts,27,"Monday, May 26, 2025",,,Shop Delivery,MS
21472,5/27/2025,79,Security Screws,63,"Friday, May 30, 2025",,,Shop Delivery,MS
21473,5/27/2025,419, ,19,,,,,
21474,5/27/2025,419, ,19,,,,,
21475,5/29/2025,79,Head Clips,27,"Tuesday, June 03, 2025",,,Shop Delivery,MS
21476,5/29/2025,321,Fleetwood finish,27,,,,,
21477,5/29/2025,25,Rixson Stops - Qty 6,27,"Thursday, June 26, 2025",,,Shop Delivery,MS
21478,5/21/2025,207,2 Storefront Doors/Hardware/Subframes,36,"Wednesday, August 13, 2025",,,Shop Delivery,MP
21479,5/29/2025,176,1 pc clear annealed glass,19,"Monday, June 02, 2025",,,Shop Delivery,SW
21480,5/29/2025,419, ,19,,,,,
21481,5/29/2025,419, ,19,,,,,
21482,5/29/2025,419, ,19,,,,,
21483,5/29/2025,419, ,19,,,,,
21484,6/9/2025,4,"6"" foil faced membrane - 8 rolls",7,"Monday, June 16, 2025",,,Shop Delivery,SW
21485,6/10/2025,16,SQRC Panels,63,"Monday, August 11, 2025",,,Shop Delivery,MS
21486,6/12/2025,130,Sealant and STST,63,"Friday, June 13, 2025",,,Shop Delivery,MS
21487,6/12/2025,79,break shapes,63,"Wednesday, June 11, 2025",,,Shop Delivery,MS
21488,6/12/2025,419, ,19,,,,,
21489,6/12/2025,419, ,19,,,,,
21490,6/12/2025,419, ,19,,,,,
21491,6/12/2025,419, ,19,,,,,
21492,6/12/2025,419, ,19,,,,,
21493,6/12/2025,419, ,19,,,,,
21494,5/20/2025,79,Hardware for (4) Punch Opening Windows,35,"Wednesday, May 21, 2025",,,Will Call,Greg Sievers PO's
21495,5/20/2025,79,Miscellaneous Parts for Canopy Panels,35,"Thursday, June 05, 2025",,,Will Call,Greg Sievers PO's
21496,5/21/2025,238,Corrugated Panels,78,,,,Deliver to Certified,Greg Sievers PO's
21497,5/22/2025,79,(16) Formed Panels,35,"Thursday, May 29, 2025",,,Will Call,Greg Sievers PO's
21498,5/27/2025,49,Engineering for Atrium - Added Steel,78,,,,Testing,Greg Sievers PO's
21499,5/28/2025,79,(88)Steel Clips,78,"Friday, June 06, 2025",,,Shop Delivery,Greg Sievers PO's
21500,5/28/2025,419, ,19,,,,,Greg Sievers PO's
21501,6/12/2013,114,Extrusions,35,,,,Shop Delivery,Greg Sievers PO's
21502,6/13/2025,225,(4) Cans of Spray paint for Trellis - Brick Red,35,,,,Shop Delivery,Greg Sievers PO's
