MASTER P.O. LOG,,,,,,,,,,,
Updated as of:,,,,,,,,,                                                                                                                                                                                                                                                    ,,
,,,,,,,,,                                                                                                                                                                                                                                                    ,,
,,,,,,,,,,,
,,, ,,,,,,,,
PO#,DATE,TO,DESCRIPTION,JOB,DUE,RECEIVED,B/O,SHIP TO,COMMENTS,,
18721,5/21/2021,3A Composites,"QTY 5 Sheets- 62"" x 150"" 4mm Alucobond Plus Silver Metallic Cool",Union City Bart,"Wednesday, June 30, 2021",,,Shop Delivery,,,
19213,11/23/2021,3A Composites,"QTY 110 Sheets- 62"" x 196"" Alucobond Plus 4mm",Sunnyvale Civic Center,"Tuesday, February 01, 2022",RECEIVED,,Shop Delivery,,,
18415,2/5/2021,AAA Forklift,Forklift Repair and Maintenance,901 Cherry,,RECEIVED,,Shop Delivery,,,
19232,12/2/2021,ABC Supply Co.,Various QTY's of countersink material (Reveal Panel System/Cement Board),San Mateo Med Center,"Tuesday, December 07, 2021",,,Shop Delivery,,,
20618,6/21/2024,Access Hardware,Qty 12 HR-215-4 1/2 Hinge Supports,Omni Lab,,,,Shop Delivery,CE,,
18854,7/14/2021,Action Bullet Resistant,"QTY 1 Lite- 30 3/8"" x 78 3/4""- 1.60"" OA Thickness",SF Traffic,"Friday, September 03, 2021",,,Shop Delivery,,,
18580,3/30/2021,Acurlite Structural Skylights,QTY 4- Skylights per drawings,Sunnyvale Civic Center,"Thursday, June 10, 2021",,,Shop Delivery,,,
19695,6/13/2022,Advanced Metal,Qty 88 Coping Panels (Chocolate Bronze),Sunnyvale City Center,,,,Shop Delivery,CE,,
19813,11/29/2022,AGC IInterpane,"Qty x345, GL-01, GLT-01, GLT-01a, GL-02, GL-02a, GLT-02a, GL-03, GL-03a",BCC Milvia,"Tuesday, March 21, 2023",,,Shop Delivery,Paul Nasij PO's,,
19709,5/3/2022,Air Gas ,1 Miller TIG welder & welding rod ,Cal State Easdt Bay ,Wednesday May 4'2022 ,,,Will Call,Dan/Shop PO's,,
18633,4/20/2021,Airolite,"QTY 1 Louver- 15 1/2"" x 31 1/2""",Burlingame TI,"Friday, May 07, 2021",,,Shop Delivery,,,
18748,6/1/2021,Alco Supply,Various Window Cranks,SF COM,"Thursday, June 24, 2021",,,Shop Delivery,,,
20329,9/22/2023,Allied Technical Solutions (Trespa),Fabricated Trespa Panels,Evergreen Valley College,Feb-24,,,Shop Delivery,MP,,
20573,5/6/2024,Alpolic ,Qty 15 (4mm FR) Sheets 196X62 JBR Bronze,SMMC  ,,,,Shop Delivery,CE,,
20625,6/20/2024,AluFlam,fire rate system,Bechtel,"Tuesday, October 15, 2024",,,Shop Delivery,ms,,
21012,10/23/2024,American Insulation and Welding,5000 insulation hangers and 5000 washers,SMMC,"Friday, October 25, 2024",,,Shop Delivery,,,
20423,11/28/2023,American welding Products ,1 stud welder rental  PO closed no charge ,CCSF ,"Wensday December 6,2023",,,Shop Delivery,Dan/Shop PO's,,
18352,1/14/2021,Ameriform,"QTY 5 Panels- NOCOM Structural Floor/Roof-3/4"" x 4' x 8'",El Ceritto Bart,"Thursday, January 21, 2021",,,Shop Delivery,,,
18313,1/4/2021,AMWP,QTY 79 Pcs.- Aluminum Material,Westfield Eataly,"Tuesday, January 12, 2021",,,Shop Delivery,,,
19981,1/25/2023,Arc Printing,Drawings,901 Cherry,,Received,,Office Delivery,PS,,
18877,7/22/2021,Arcadia,Various QTY's of stock length material,Keyshight,"Monday, August 23, 2021",,,Shop Delivery,,,
18357,1/18/2021,Architectural Building Products,"QTY 18-Thermolite SE- 4' x 12' x 2"" OA w. 1"" return legs",Westfield Eataly,"Thursday, February 25, 2021",,,Shop Delivery,,,
20645,7/23/2024,Architectural Wall Systems,Engineering Services,SFO,"Thursday, August 15, 2024",,,,MC,,
20247,9/6/2023,Arconic Reynobond,71 Sheets at 196 x 62,GSE,"Monday, November 20, 2023",,,,Greg Sievers PO's,,
18323,1/6/2021,Automated Services & Products,"QTY 3 Doors- #001A, 001B, 1001C-Horton Sliders",John Muir PH,,RECEIVED,,Shop Delivery,,,
18408,2/2/2021,Ascent,QTY 1- Berner Air Curtain- #AC-1,10th Street,"Monday, March 01, 2021",,,Shop Delivery,,,
20519,2/1/2024,ASI,"Centria Metal panel CS600, 2,400sqf and clips",SCB,"Friday, November 01, 2024",,,Shop Delivery,Paul Nasij PO's,,
20281,6/17/2024,ASI - Fundermax,Shop Drawings and 10mm Wood Phenolic Panels,SSF Wellness,,,,Shop Delivery,Greg Sievers PO's,,
18385,1/25/2021,Assa Abloy,"QTY 4 Thresholds- 12"" x 96"" x 1/2 Saddle",Newark Civic Center,"Monday, February 08, 2021",,,Shop Delivery,,,
20836,9/25/2024,Associated Labs,NFRC Labels,CEE,"Thursday, October 10, 2024",,,Office Delivery,MS,,
18343,1/14/2021,Atlas Supply,QTY 15 Cases- 795 Bronze Sausage,SF Traffic,,RECEIVED,,Shop Delivery,,,
18435,2/11/2021,Automated Door Systems,Shop Drawings,Sutter Reclad,"Thursday, February 25, 2021",,,Shop Delivery,,,
19110,10/18/2021,Automatic Door Systems,QTY 1- ED-250 In Ground Operator,Hamlin School,"Monday, November 15, 2021",,,Shop Delivery,,,
20183,5/9/2024,AWMP,Tube Embeds,SFSU- West Campus,"Tuesday, May 23, 2023",,,Shop Delivery,,,
19702,4/22/2022,B h J ,Fastners pre spred sheet ,901 cherry ,"Tuesday, April 26, 2022",,,Shop Delivery,Dan/Shop PO's,,
19621,4/8/2022,BATS,Taffic Control ,GEN 50,"Thursday, April 14, 2022",,,Shop Delivery,PS,,
20181,26-Apr,Baker Metal,Fluted Panels,Bechtel,,,,Shop Delivery,,,
20170,3/23/2023,Bay City Screw and Bolt,Qty 200 - PH SS SMS screws for the B3 perf panels,901 Cherry,"Tuesday, April 04, 2023",,,,,,
18639,4/21/2021,Bayfab Metals,"QTY 3 Pcs- 1/4"" Aluminum Angle",10th Street,"Monday, April 26, 2021",,,Will Call,,,
19687,6/2/2022,Beacon,"Pecora DynaTred Sealant (9 kits), Color: London Fog",CC Bishop Ranch,"Tuesday, June 07, 2022",,,Shop Delivery,MP,,
20000,9/27/2022,Beacon ,"2 bowes of 12"" Grace foil face flashing ",901 Cherry ,"Wensday September 28,2022",,,Will Call,Dan/Shop PO's,,
18391,1/26/2021,Bendheim,"QTY 43 Lites- 1/2"" Temp/Lami Glass",Westfield Eataly,"Wednesday, April 07, 2021",,,Shop Delivery,,,
19616,4/5/2022,BHJ,Qty 9000 - #10 x 1 1/4 PH Wood Screws,Sunnyvale Civic Center,"Monday, April 11, 2022",,,Shop Delivery,CE,,
19710,5/4/2022,BHJ ,Elco Drill Flex Stock Order ,901 Cherry ,vairas dates ,,,Shop Delivery,Dan/Shop PO's,,
18316,1/5/2021,BHJ Bay City,"Various 1/4"" SS Lock washer, Flat Washer, Nut",Union City Bart,"Thursday, January 07, 2021",,,Shop Delivery,,,
20537,5/31/2024,BIGGE CRANE AND RIGGING CO,Crane rental,SCB,"Monday, June 10, 2024",,,Jobsite,Paul Nasij PO's,,
18513,3/10/2021,Blackwood,Centria Econolap Panels- Dove Gray,Genentech B50,"Thursday, May 13, 2021",,,Shop Delivery,,,
21033,11/20/2024,Bloom,Qty 2 Mirror MR701,Graton,"Thursday, December 05, 2024",,,Shop Delivery,MS,,
18919,8/5/2021,BOK Modern,"QTY 42 Panels- 3/16"" Green panels with holes",San Mateo Med Center,"Friday, September 24, 2021",,,Shop Delivery,,,
20188,5/15/2023,Botner,Qty 205 Embeds 2X2X12 HDG w/H4L MS Studs,City College San Francisco,,,,Shop Delivery,CE,,
18467,2/25/2021,Bron Tape,"QTY 10,000- Foam Blocks- 2"" x 4"" x 4""",Genentech B50,"Wednesday, March 03, 2021",,,Shop Delivery,,,
18494,3/4/2021,Byington Steel,"QTY 12 Sheets- 96"" x 48"" Fully Annealed Diamond Sheets",Union City Bart,"Monday, March 15, 2021",,,Shop Delivery,,,
19713,5/6/2022,CRL,Various horseshoe shims ,901 Cherry ,"Tuesday, May 10, 2022",,,Shop Delivery,Dan/Shop PO's,,
19592,5/27/2022,Cal Neva,"HDPE - Black Slip Pads: (16) 1/4"" thick ; (16) 1/8"" Thick ; (20) 1/16"" Thick",Stanford POD D,"Friday, July 01, 2022",Received,,Shop Delivery,Greg Sievers PO's,,
18905,8/3/2021,California Waterproofing Supply,"QTY 1- 5 Gallon Pail- GE Elemax 2600 Gray, QTY 1- 50' Roll SS Flashing",Sunnyvale Civic Center,"Friday, August 06, 2021",,,Will Call,,,
18607,4/13/2021,Cellotape,"QTY 45, 170, 110- Temp. NFRC Labels",CSUEB Library,"Wednesday, April 28, 2021",,,Shop Delivery,,,
18322,1/6/2021,Certified Enameling,QTY 106 Panels- Paint Release #3,Union City Bart,"Friday, January 22, 2021",,,Shop Delivery,,,
19969,1/24/2023,Coast Aluminum,MISC. Aluminum Angles ,901 Cherry,,Received,,Shop Delivery,PS,,
20244,8/9/2023,Coastline Steel,Steel T CW system,CEE,"Monday, July 01, 2024",,,Shop Delivery,MS,,
18817,7/1/2021,Colonial Saw,QTY 1 Saw Blade,Union City Bart,,RECEIVED,,Shop Delivery,,,
18582,3/30/2021,Contrasol Ltd.,QTY 10 Sunshades,Sunnyvale Civic Center,"Wednesday, July 21, 2021",,,Shop Delivery,,,
20931,10/9/2024,Cordstrap,4 boxes strap 1 box buckles ,CEE/EMU,"Monday Oct.7,2024",,,Shop Delivery,Dan/Shop PO's,,
19762,7/25/2022,CRL ,"40 rolls  3/8 X 3/8"" glaizing tape ",901  cherry ,Wensday July 27' 2022 ,,,Shop Delivery,Dan/Shop PO's,,
20556,1/23/2024,CS Group,Louvers,BEC,"Wednesday, June 05, 2024",,,Shop Delivery,ms,,
20003,10/4/2022,D.M. Figley,10 Boxes of Primmer C and soft ros ,901 Cherry ,"Thursday Oct.,62022 ",,,Shop Delivery,Dan/Shop PO's,,
20862,9/16/2024,D&L Transport,Freight Delivery,SSF Wellness,,,,,Greg Sievers PO's,,
19122,10/20/2021,Dolans of Concord,Quote#604- Series 530-T- Class I Black Anodized Fleetwood Doors,Hamlin School,"Thursday, March 24, 2022",,,Shop Delivery,,,
19814,12/8/2022,Doors & Windows West,Qty x6 doors,BCC Milvia,,,,,Paul Nasij PO's,,
19865,7/19/2022,Dura Industries,Qty 219 pcs painted Chocolate Bronze - Sill Trims & Canopy Flashings,Sunnyvale City Center,,,,Shop Delivery,CE  ,,
18712,5/14/2021,Durain Industries,QTY 86 Pcs- Cherrymith Panels to be painted,Westfield Eataly,"Monday, May 24, 2021",,,Shop Delivery,,,
20252,10/31/2023,Eastern Metal Supply (EMS),"Qty. 27 Rectangular Tubes (1"" x 5"") and Qty. 7 S/L of Aluminum Channel",GSE,,Received,,Shop Delivery,Greg Sievers PO's,,
18576,3/29/2021,EFCO,Release #1- Q#22-0105 Dated 03/09/21,Stanford POD D,"Tuesday, June 01, 2021",,some material on BACK ORDER per packing slip ,Shop Delivery,,,
20448,116/2024,Elumatec ,1 replacment suction hose ,Stanford GSE ,"Monday Janaury 22,2024",,,Shop Delivery,Dan/Shop PO's,,
19849,10/4/2023,ELward,"MP-4, MP-6 aluminum panels",SCB,,,,Shop Delivery,Paul Nasij PO's,,
19809,10/7/2022,Fast Signs,Qtyx3 Sample stickers,Sunnyvale Civic Center,"Friday, October 14, 2022",Received,,Office Delivery,Paul Nasij PO's,,
19593,6/6/2022,Fastenal,Bushings,Stanford POD D,"Friday, July 15, 2022",Received,,Shop Delivery,Greg Sievers PO's,,
18805,6/28/2021,FHC,"QTY 1- 1 1/4"" Handrail Bracket",Intuit,"Friday, July 16, 2021",,,Shop Delivery,,,
18335,1/12/2021,FireWise Consultants,Service and Support for Firestopping Systems,CSUEB Library,"Monday, March 01, 2021",,,Testing,,,
20767,8/12/2024,Fleetwood,Sliders,CEE,"Monday, February 12, 2024",,,Shop Delivery,MS,,
19671,5/12/2022,Four C's Construction,80LF of Sheet Metal Coping - materials and installation at EOC,Sunnyvale Civic Center,,,,,CE,,
21034,11/20/2024,Frame it for Less,MR700 Mirror - Qty 2,Graton,"Thursday, December 05, 2024",,,Shop Delivery,ms,,
20315,8/30/2023,G&G Risk Management Consultants,Onsite full time safety professional services,SC Behavioral,OCT 2023 - JAN 2025,,,,MP,,
19031,9/13/2021,Garibaldi Glass,"QTY 1- 58 5/16"" x 149 5/16""- 1 5/8"" OA- LAMI/IGU",SFCOM,"Wednesday, October 20, 2021",,,Shop Delivery,,,
19619,4/6/2022,General Metals,CLT Brackets-B2 (R1) B3 (Complete) + MISC Steel Shims QTY 250,901 Cherry ,"Thursday, April 07, 2022",,,Shop Delivery,PS,,
21043,12/11/2024,GGG,NBK Materials,SQRC,"Friday, January 10, 2025",,,Shop Delivery,MS,,
20223,6/8/2023,GGI Glass ,Art Glass ,UCSF - Art Glass ,"Tuesday, August 08, 2023",,,Shop Delivery,BG,,
19251,12/7/2021,Glass Fab,"QTY 2 Lites- 1/4"" bronze Tempered",Keysight,,RECEIVED,,Will Call,,,
19564,5/4/2022,GlassFab,"Qty x26 11/16"" FT SGP LAMINATED GLASS",Bay Street,"Thursday, May 26, 2022",Received,,Shop Delivery,Paul Nasij PO's,,
18358,1/18/2021,Glasswerks,"QTY 102 Lites- GL1, QTY 16 Lites- GL1T, QTY 6 Lites, GL2",Sutter Reclad,"Monday, February 08, 2021",,,Shop Delivery,,,
20361,12/15/2023,Golden Gate Glass,SBE for Morin Panels,SFSU,,,,,MS,,
20148,8/11/2023,Gordon Aluminum,New Dies: GSE01 and GSE02,GSE,,,,Office Delivery,Greg Sievers PO's,,
18614,4/13/2021,Grainger,QTY 20- Smoke & Acoustical Caulk-20 oz. Tube,Genentech B50,,RECEIVED,,Shop Delivery,,,
20359,12/12/2023,Greenlite,Skylight,CEE,"Monday, July 15, 2024",,,Shop Delivery,MS,,
20562,4/24/2024,Griggs Systems,"Prodema 6"" Wood Panels with Black Hat Channels",SMMC - Mock up,"Wednesday, June 05, 2024",,,Shop Delivery,CE,,
19678,19678,Halfen (Leviat),Halfen Bolts,901 Cherry,"Monday, May 23, 2022",,,Shop Delivery,PS,,
20456,2/6/2024,Hanson Rivet ,1 14 volt battery and charger ,evergreen Collage ,"monday Febuary 12,2024",,,Shop Delivery,Dan/Shop PO's,,
20721,7/24/2024,Harrison & Bonini ,"2 boxes of derill flex 1/4 X 20 X 21/2"" ",SCB,"Wensday July 24,2024",,,Will Call,Dan/Shop PO's,,
18821,7/1/2021,HG Adhesive Dispensing,QTY 1- Rental Agreement for 983 Pump,SVCC/901 Cherry,"Wednesday, December 01, 2021",,,Shop Delivery,,,
18327,1/11/2021,Hilti,"QTY 3,000- HUS-EZ 1/4"" x 1 7/8"" Anchors",SF Traffic,"Wednesday, January 13, 2021",recevied 1300 pcs ,,Shop Delivery,,,
18638,4/21/2021,Hydro,QTY 6 S/L- SV1 and SV2,Sunnyvale Civic Center,"Tuesday, June 29, 2021",,,Shop Delivery,,,
20221,6/6/2023,Insulgard Security Products,"Ballistic framing and glazing systems, (2) doors/hardware",German Consulate,,,,Shop Delivery,MP,,
18345,1/14/2021,Intertek,Curtain Wall Computer Simulation,901 Cherry,"Monday, February 15, 2021",,,Testing,,,
20961,11/11/2024,J D Edoes ,983 catalist wipper gaskets ,SCb,"Monday Nov.4,2024",,,Shop Delivery,Dan/Shop PO's,,
20728,8/7/2024,J Stone Promations ,C/S Erectors safty vests ,Stanfors /CCSF ,"Friday, August 16, 2024",,,Shop Delivery,Dan/Shop PO's,,
19058,9/28/2021,J. Dedoes Inc.,"Black Wiper, White Wiper, O-Ring",Sunnyvale Civic Center,"Wednesday, October 20, 2021",,,Shop Delivery,,,
20297,8/14/2024,JBI,(4) Wood Frames for NFRC and Mock up,SSF Wellness,,,,Shop Delivery,Greg Sievers PO's,,
20917,9/25/2024,JDedoes,983 pump seals ,CCE/EMU ,"Monday September 33,2024",,,Shop Delivery,Dan/Shop PO's,,
20323,9/19/2023,Jordahl,Embed tracks Qty 9,SFSU,,,,,MS,,
20175,4-Apr,JR Butler,SFSU Glazing system,SFSU,"Wednesday, November 01, 2023",,,Shop Delivery,MS,,
20404,10/24/2023,J-Stone ent.,C/S Safety vests ,SCB,"Monday, November 06, 2023",,,Shop Delivery,Dan/Shop PO's,,
20334,10/11/2023,Katia Griggs,Knightwall ThermaZee Girts,SFSU,"Friday, December 01, 2023",,,Shop Delivery,MS,,
18360,1/19/2021,Kawneer,"QTY 4-#820309, QTY 4-#820317, QTY 4-#821861",Westfield Eataly,"Monday, February 08, 2021",,,Shop Delivery,SO#987490E,,
19696,6/13/2022,Kawneer,UCDH PS5 Storefront ,UCDH PS 5 ,"Tuesday, November 01, 2022",,,Shop Delivery,BG,,
19003,9/1/2021,Kinetics Resource,Bird Screen,901 Cherry,"Tuesday, September 21, 2021",,,Shop Delivery,,,
20299,8/21/2024,Knight Wall,Mock up Subgirt Material,SSF Wellness,,,,Shop Delivery,Greg Sievers PO's,,
18824,7/1/2021,Koch Inc.,QTY 100- Morseal Mixer Tips,CSUEB Library,"Friday, July 09, 2021",,,Shop Delivery,,,
20070,6/27/2023,Kocthe ,983 pump service ,SCB-Mock-up,"Friday, July 07, 2023",,,Will Call,Dan/Shop PO's,,
19845,9/25/2023,Landmark Labels,NFRC- Temp Labels- Qty 769,SCB,"Tuesday, October 10, 2023",RECEIVED,,Shop Delivery,Paul Nasij PO's,,
20152,2/28/2023,LaVoy Architectural,Paint 19 misc pieces for roof gates - Dove Gray,San Mateo Medical Center,,,,Will Call,CE,,
18772,6/10/2021,Leviat,Various QTY's Embeds,Sunnyvale Civic Center,,RECEIVED,,Shop Delivery,,,
20846,10/22/2024,Leviat (Halfen),Embeds (770) and Tbolts/nuts/washers (1350),SQRC,"Friday, November 22, 2024",,,,,,
20257,1/24/2024,Linetec,Extrusion and End Cap Painted Material,GSE,"Friday, March 15, 2024",,,Shop Delivery,Greg Sievers PO's,,
19732,5/20/2022,Lowerys ,4 rolls of grace ultra  1 pail of primer plus ,901 Cherry ,"Friday, May 20, 2022",,,Shop Delivery,Dan/Shop PO's,,
20685,6/12/2024,Lowerys/Beacon ,"12 rolls 12"" foil face ",SFSU#2,"Wensday June 12,2024",,,Will Call,Dan/Shop PO's,,
19861,7/22/2022,Lowry's,PAB VPS (10) Rolls,901 Cherry,"Monday, August 15, 2022",,,Will Call,PS,,
